StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
sonic-s6100-dut,Ethernet64,snappi-sonic,Card4/Port1,100000,2,Access
sonic-s6100-dut,Ethernet68,snappi-sonic,Card4/Port2,100000,2,Access
sonic-s6100-dut,Ethernet72,snappi-sonic,Card4/Port3,100000,2,Access
sonic-s6100-dut,Ethernet76,snappi-sonic,Card4/Port4,100000,2,Access

